,id,first_name,last_name,State,Product,nrx1,nrx2,nrx3,nrx4,nrx5,nrx6,trx1,trx2,trx3,trx4,trx5,trx6,nrx_slope,nrx_intercept,nrx_mean,trx_slope,trx_intercept,trx_mean
0,1,Bren,Clarridge,Virginia,Cholecap,11,9,9,14,16,8,104,126,20,23,27,119,0.314285714,10.06666667,11.16666667,-6.257142857,91.73333333,69.83333333
1,2,Catharine,Latty,West Virginia,Cholecap,0,1,2,15,0,10,177,184,70,94,123,155,1.714285714,-1.333333333,4.666666667,-7.685714286,160.7333333,133.8333333
2,3,Charity,Wernher,Utah,Cholecap,3,10,15,15,2,17,183,35,182,166,32,20,1.314285714,5.733333333,10.33333333,-24,187,103
3,4,Trevar,Orrocks,California,Cholecap,20,8,4,16,10,15,30,24,61,125,10,191,-0.2,12.86666667,12.16666667,23.62857143,-9.2,73.5
4,5,Marie-ann,Degoy,California,Cholecap,11,14,0,13,16,5,153,157,27,118,101,193,-0.314285714,10.93333333,9.833333333,3.514285714,112.5333333,124.8333333
5,6,Reggie,Scoggan,California,Cholecap,13,20,11,0,13,8,129,137,99,15,123,32,-1.628571429,16.53333333,10.83333333,-17.45714286,150.2666667,89.16666667
6,7,Camala,Dosdale,Pennsylvania,Cholecap,18,9,15,20,1,14,165,146,111,36,52,49,-1.114285714,16.73333333,12.83333333,-26.77142857,186.8666667,93.16666667
7,8,Abran,Tonnesen,Idaho,Cholecap,18,13,9,13,2,14,197,15,113,128,19,128,-1.4,16.4,11.5,-9.085714286,131.8,100
8,9,Kelly,Toolan,Washington,Cholecap,8,12,13,1,3,8,73,69,192,122,22,174,-1.114285714,11.4,7.5,8.4,79.26666667,108.6666667
9,10,Eada,Ingman,Florida,Cholecap,4,16,8,1,0,7,4,159,136,46,156,58,-1.142857143,10,6,4.885714286,76.06666667,93.16666667
10,11,Nari,Sallings,Alabama,Cholecap,18,19,19,16,9,19,178,147,145,35,53,28,-0.8,19.46666667,16.66666667,-32.62857143,211.8666667,97.66666667
11,12,Marrissa,Rawsen,California,Cholecap,0,11,16,10,2,15,34,16,120,161,43,163,1.2,4.8,9,21.91428571,12.8,89.5
12,13,Gabby,Trevino,Texas,Cholecap,2,17,2,13,15,8,102,162,99,200,129,120,1,6,9.5,2.628571429,126.1333333,135.3333333
13,14,Jyoti,Pevie,California,Cholecap,13,10,3,14,5,20,156,75,48,82,66,52,0.885714286,7.733333333,10.83333333,-14.65714286,131.1333333,79.83333333
